Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,0,0,0,0,0,0,0,10.8808754,-1.087751,96,8.62E+14,735926.4998
0,0,0,0,0,0,0,0,10.8808754,-1.087751,96,8.62E+14,735926.4999
0,-87,-92,-93,-101,-95,-92,0,10.8854547,-1.0778013,3256,8.62E+14,735926.4806
NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,10.869702,-1.075034,2137,8.62E+14,735927.4491
0,0,0,0,0,-74,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4492
0,0,0,0,0,-71,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4493
0,0,0,0,0,-80,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4495
0,0,0,0,0,-77,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4496
0,0,0,0,0,-86,-96,0,10.869702,-1.075034,2137,8.62E+14,735927.4497
0,0,0,0,0,-73,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4498
0,0,0,0,0,-67,0,0,10.869702,-1.075034,2137,8.62E+14,735927.45
0,0,0,0,0,-66,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4501
0,-102,-102,0,0,-68,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4502
0,0,0,0,0,-70,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4503
0,0,0,0,0,-70,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4504
0,0,0,0,0,-74,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4505
0,-103,0,0,0,-82,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4507
0,0,0,0,0,-80,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4508
0,-100,-98,0,0,-75,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4509
0,-99,-98,0,-99,-80,0,0,10.869702,-1.075034,2137,8.62E+14,735927.451
0,0,0,0,0,-80,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4511
0,0,-102,0,0,-80,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4512
0,-100,-101,0,-101,-86,0,0,10.869702,-1.075034,2137,8.62E+14,735927.4513
0,0,0,0,0,-77,0,0,10.8743238,-1.0755074,2137,8.62E+14,735927.4515
0,0,0,0,0,-74,0,0,10.8828511,-1.0770731,2706,8.62E+14,735927.4516
0,0,0,0,0,-81,0,0,10.8802475,-1.0763449,2706,8.62E+14,735927.4517
0,0,0,0,0,-81,0,0,10.8822002,-1.076891,2706,8.62E+14,735927.4518
0,0,0,0,0,-83,0,0,10.878262,-1.0761992,2137,8.62E+14,735927.4519
0,0,0,0,0,-74,0,0,10.8775783,-1.0764177,2137,8.62E+14,735927.452
0,0,0,0,0,-81,0,0,10.8775783,-1.0764177,2137,8.62E+14,735927.4522
0,0,0,0,0,-86,0,0,10.8775783,-1.0764177,2137,8.62E+14,735927.4523
0,0,-101,0,-100,-82,0,0,10.8775783,-1.0764177,2137,8.62E+14,735927.4524
0,0,0,0,0,-95,0,0,10.878262,-1.0761992,2137,8.62E+14,735927.4525
0,0,-99,0,0,-83,0,0,10.8770969,-1.0757915,2137,8.62E+14,735927.4526
0,0,-100,0,0,-82,0,0,10.8770969,-1.0757915,2137,8.62E+14,735927.4527
0,0,-100,0,-102,-84,0,0,10.8770969,-1.0757915,2137,8.62E+14,735927.4529
0,0,0,0,0,-82,0,0,10.8775783,-1.0764177,2137,8.62E+14,735927.453
0,0,0,0,0,-75,0,0,10.8775783,-1.0764177,2137,8.62E+14,735927.4531
0,0,0,0,0,-75,0,0,10.8758645,-1.0756652,2137,8.62E+14,735927.4532
0,0,0,0,0,-74,0,0,10.8807628,-1.0876603,18,8.62E+14,735927.4533
0,0,0,0,0,-78,0,0,10.8807645,-1.0876643,96,8.62E+14,735927.4534
0,0,0,0,0,-72,0,0,10.8807577,-1.0876493,42,8.62E+14,735927.4536
0,0,0,0,0,-71,0,0,10.880758,-1.0876502,19,8.62E+14,735927.4537
0,0,0,0,0,-81,0,0,10.8807591,-1.0876516,38,8.62E+14,735927.4538
0,0,0,0,0,-80,0,0,10.8807604,-1.0876549,96,8.62E+14,735927.4539
0,0,0,0,0,-72,0,0,10.8807627,-1.0876605,96,8.62E+14,735927.454
0,0,0,0,0,-84,0,0,10.8807635,-1.0876623,38,8.62E+14,735927.4541
0,0,0,0,0,-85,0,0,10.8807643,-1.0876639,33,8.62E+14,735927.4542
0,0,0,0,0,-76,0,0,10.8807652,-1.0876656,39,8.62E+14,735927.4544
0,0,0,0,0,-71,0,0,10.880765,-1.0876645,42,8.62E+14,735927.4545
0,0,0,0,0,-74,0,0,10.8807668,-1.0876689,46,8.62E+14,735927.4546
0,0,-100,0,0,-83,0,0,10.8807669,-1.0876689,28,8.62E+14,735927.4547
0,0,-98,0,0,-83,0,0,10.8807693,-1.0876747,21,8.62E+14,735927.4548
0,0,-102,0,0,-75,0,0,10.880771,-1.0876749,41,8.62E+14,735927.4549
0,0,-98,0,0,-81,0,0,10.880771,-1.0876747,96,8.62E+14,735927.4551
0,0,-103,0,0,-82,0,0,10.8807713,-1.087675,96,8.62E+14,735927.4552
0,0,-101,0,0,-84,0,0,10.8807712,-1.0876754,38,8.62E+14,735927.4553
0,0,-99,0,0,-81,0,0,10.8807712,-1.0876752,36,8.62E+14,735927.4554
0,0,-100,0,0,-78,0,0,10.8807713,-1.0876755,38,8.62E+14,735927.4555
